,mix,,
,no filter,P2Rank filter,MOAD filter
lbs,1.33E-218,1.33E-218,1.33E-218
pdbekb_conservation,3.55E-27,1.35E-30,4.43E-36
conservation,1.11E-17,1.05E-27,7.86E-33
exposure_CN,4.72E-17,1.95E-21,1.30E-22
HSE_up,1.15E-14,2.15E-18,1.38E-18
depth,8.00E-14,9.13E-16,2.83E-16
HSE_down,1.48E-09,1.59E-11,2.28E-11
bfactor,2.56E-06,3.03E-08,3.97E-08
aa,0.006394,0.001172,---
mol_weight,---,0.00129,0.002037
hydropathy,0.00539,0.001376,0.001953
aromaticity,0.02027,0.01516,0.02523
H_bond_atoms,0.08081,0.02502,0.03019
charged,0.2683,0.06663,0.08965
polarity,0.2755,0.07131,0.1009
sec_str,0.133,0.0873,0.02696
strand,0.1491,0.1112,0.04838
helix,0.1361,0.1154,0.02435
mobiDB,0.3971,0.3844,0.3653
phi_angle,0.3973,0.399,0.3864
psi_angle,0.4213,0.4317,0.2875
efoldmine,0.4769,0.4373,0.4839
dynamine,0.4937,0.484,0.4208
random_cont,0.5029,0.5021,0.4887
variation,0.5387,0.5283,0.5395
random_binary,0.5374,0.5309,0.5223
turn,0.5785,0.5982,0.598
